,speakerid,filename,birthplace,native_language,age,sex,age_onset
0,1,afrikaans1,"virginia, south africa",afrikaans,3,female,5
1,2,afrikaans2,"pretoria, south africa",afrikaans,3,male,5
2,3,agni1,"diekabo, ivory coast",agni,3,male,5
3,4,albanian1,"prishtina, kosovo",albanian,3,male,5
4,5,albanian2,"tirana, albania",albanian,3,male,5
5,6,amharic1,"addis ababa, ethiopia",amharic,3,female,5
6,7,amharic2,"arba minch, ethiopia",amharic,3,male,5
7,8,amharic3,"addis ababa, ethiopia",amharic,3,male,5
8,9,amharic4,"addis ababa, ethiopia",amharic,3,male,5
9,10,amharic5,"addis ababa, ethiopia",amharic,3,male,5
10,11,arabic1,"riyadh, saudi arabia",arabic,3,female,5
11,12,arabic10,"cairo, egypt",arabic,3,male,5
12,13,arabic11,"monastir, tunisia",arabic,3,female,5
13,14,arabic12,"baghdad, iraq",arabic,3,male,5
14,15,arabic13,"zabbougha, lebanon",arabic,3,male,5
15,16,arabic2,"damascus, syria",arabic,3,male,5
16,17,arabic3,"doha, qatar",arabic,3,male,5
17,18,arabic4,"sharjah, united arab emirates",arabic,3,male,5
18,19,arabic5,"casablanca, morocco",arabic,3,female,5
19,20,arabic6,"sanaa, yemen",arabic,3,male,5
20,21,arabic7,"casablanca, morocco",arabic,3,female,5
21,22,arabic8,"casablanca, morocco",arabic,3,male,5
22,23,arabic9,"jerusalem, israel",arabic,3,female,5
23,24,armenian1,"yerevan, armenia",armenian,3,female,5
24,25,azerbaijani1,"naxcivan, azerbaijan",azerbaijani,3,male,5
25,26,bafang1,"douala, cameroon",bafang,3,male,5
26,27,baga1,"conakry, guinea",baga,3,male,5
27,28,bai1,"jianchuan, yunnan, china",bai,3,female,5
28,29,bambara1,"bamako, mali",bambara,3,female,5
29,30,bambara2,"bamako, mali",bambara,3,female,5
30,31,bamun1,"foumban, cameroon",bamun,3,female,5
31,32,basque1,"vizcaya, spain",basque,3,female,5
32,33,basque2,"guernica, spain",basque,3,male,5
33,34,bengali1,"dhaka, bangladesh",bengali,3,male,5
34,35,bengali2,"lusaka, zambia",bengali,3,female,5
35,36,bengali3,"dhaka, bangladesh",bengali,3,female,5
36,37,bengali4,"chittagong, bangladesh",bengali,3,male,5
37,38,bosnian1,"doboj, bosnia and herzegovina",bosnian,3,male,5
38,39,bosnian2,"sarajevo, bosnia and herzegovina",bosnian,3,male,5
39,40,bulgarian1,"plovdiv, bulgaria",bulgarian,3,female,5
40,41,bulgarian2,"sofia, bulgaria",bulgarian,3,female,5
41,42,bulgarian3,"sofia, bulgaria",bulgarian,3,male,5
42,43,bulgarian4,"plovdiv, bulgaria",bulgarian,3,male,5
43,44,bulgarian5,"sofia, bulgaria",bulgarian,3,male,5
44,45,cantonese1,"hong kong, china",cantonese,3,female,5
45,46,cantonese2,"hong kong, china",cantonese,3,male,5
46,47,cantonese3,"hong kong, china",cantonese,3,male,5
47,48,cantonese4,"fuzhou, fujian, china",cantonese,3,female,5
48,49,cantonese5,"hong kong, china",cantonese,3,male,5
49,50,carolinian1,"saipan, saipan, northern mariana islands",carolinian,3,female,5
50,51,catalan1,"tarragona, spain",catalan,3,male,5
51,52,chamorro1,"saipan, saipan, northern mariana islands",chamorro,3,male,5
52,53,czech1,"prague, czech republic",czech,3,female,5
53,54,danish1,"horsens, denmark",danish,3,female,5
54,55,danish2,"haslev, denmark",danish,3,female,5
55,56,dari1,"kabul, zoroastrian, afghanistan",dari,3,female,5
56,57,dutch1,"nijmegen, netherlands",dutch,3,male,5
57,58,dutch2,"amsterdam, netherlands",dutch,3,male,5
58,59,ebira1,"okene, nigeria",ebira,3,male,5
59,60,edo1,"benin city, nigeria",edo,3,male,5
60,61,english1,"pittsburgh, pennsylvania, usa",english,3,male,5
61,62,english10,"davenport, iowa, usa",english,3,female,5
62,63,english100,"miami, florida, usa",english,3,female,5
63,64,english101,"toronto, ontario, canada",english,3,female,5
64,65,english102,"torrington, connecticut, usa",english,3,male,5
65,66,english103,"staten island, new york, usa",english,3,male,5
66,67,english104,"youngstown, ohio, usa",english,3,female,5
67,68,english11,"staffordshire, uk",english,3,female,5
68,69,english12,"leicester, uk",english,3,female,5
69,70,english13,"henley on thames, oxfordshire, uk",english,3,male,5
70,71,english14,"belfast, northern ireland, uk",english,3,male,5
71,72,english15,"norton, virginia, usa",english,3,female,5
72,73,english16,"wise, virginia, usa",english,3,male,5
73,74,english17,"darwin va, virginia, usa",english,3,male,5
74,75,english18,"dickenson county, virginia, usa",english,3,female,5
75,76,english19,"louisville, kentucky, usa",english,3,male,5
76,77,english2,"birmingham, uk",english,3,female,5
77,78,english20,"mt. holly, north carolina, usa",english,3,female,5
78,79,english21,"boston, massachusetts, usa",english,3,female,5
79,80,english22,"panama city, panama",english,3,female,5
80,81,english23,"englewood, tennessee, usa",english,3,male,5
81,82,english24,"glasgow, scotland, uk",english,3,male,5
82,83,english25,"atlanta, georgia, usa",english,3,male,5
83,84,english26,"smith island, maryland, usa",english,3,male,5
84,85,english27,"smith island, maryland, usa",english,3,female,5
85,86,english28,"toronto, ontario, canada",english,3,male,5
86,87,english29,"lindsay, ontario, canada",english,3,female,5
87,88,english3,"brisbane, australia",english,3,female,5
88,89,english30,"st. mary's, ontario, canada",english,3,female,5
89,90,english31,"st. augustine, trinidad",english,3,female,5
90,91,english32,"fresno, california, usa",english,3,female,5
91,92,english33,"san diego, california, usa",english,3,male,5
92,93,english34,"ronkonkoma, new york, usa",english,3,female,5
93,94,english35,"milwaukee, wisconsin, usa",english,3,female,5
94,95,english36,"arcadia, wisconsin, usa",english,3,male,5
95,96,english37,"yole, india",english,3,female,5
96,97,english38,"littlehampton, uk",english,3,male,5
97,98,english39,"new orleans, louisiana, usa",english,3,female,5
98,99,english4,"saint anne's bay, jamaica",english,3,female,5
99,100,english40,"dudley, uk",english,3,male,5
100,101,english41,"wellington, new zealand",english,3,male,5
101,102,english42,"nigel, south africa",english,3,male,5
102,103,english43,"vancouver, british columbia, canada",english,3,male,5
103,104,english44,"winston salem, north carolina, usa",english,3,female,5
104,105,english45,"pine bluff, arkansas, usa",english,3,male,5
105,106,english46,"creswell, north carolina, usa",english,3,male,5
106,107,english47,"plantersville, arkansas, usa",english,3,female,5
107,108,english48,"port moresby, national capital district, papua new guinea",english,3,male,5
108,109,english49,"castro valley, california, usa",english,3,male,5
109,110,english5,"fairfax, virginia, usa",english,3,male,5
110,111,english50,"baltic, south dakota, usa",english,3,female,5
111,112,english51,"detroit, michigan, usa",english,3,male,5
112,113,english52,"calgary, alberta, canada",english,3,male,5
113,114,english53,"syracuse, new york, usa",english,3,male,5
114,115,english54,"new albany, indiana, usa",english,3,female,5
115,116,english55,"st. louis, missouri, usa",english,3,female,5
116,117,english56,"londonderry, northern ireland, uk",english,3,male,5
117,118,english57,"birmingham 1, uk",english,3,male,5
118,119,english58,"southhampton, uk",english,3,female,5
119,120,english59,"columbus, ohio, usa",english,3,male,5
120,121,english6,"brooklyn, new york, usa",english,3,female,5
121,122,english60,"chesapeake, virginia, usa",english,3,male,5
122,123,english61,"toronto, ontario, canada",english,3,male,5
123,124,english62,"west jordan, utah, usa",english,3,male,5
124,125,english63,"lewisville, texas, usa",english,3,male,5
125,126,english64,"montreal, quebec, canada",english,3,female,5
126,127,english65,"lewistown, pennsylvania, usa",english,3,male,5
127,128,english66,"baltimore, maryland, usa",english,3,male,5
128,129,english67,"princeton, indiana, usa",english,3,male,5
129,130,english68,"new york, new york, usa",english,3,male,5
130,131,english69,"adelaide, australia",english,3,male,5
131,132,english7,"macon, mississippi, usa",english,3,male,5
132,133,english70,"beaumont, texas, usa",english,3,male,5
133,134,english71,"west covina, california, usa",english,3,male,5
134,135,english72,"kilkenny, ireland",english,3,male,5
135,136,english73,"darwin, australia",english,3,male,5
136,137,english74,"wichita, kansas, usa",english,3,male,5
137,138,english75,"idaho falls, idaho, usa",english,3,male,5
138,139,english76,"boston, massachusetts, usa",english,3,female,5
139,140,english77,"melbourne, australia",english,3,male,5
140,141,english78,"caribou, maine, usa",english,3,female,5
141,142,english79,"boston, massachusetts, usa",english,3,male,5
142,143,english8,"perth, australia",english,3,female,5
143,144,english80,"glasgow, scotland, uk",english,3,male,5
144,145,english81,"st. paul, minnesota, usa",english,3,male,5
145,146,english82,"chicago, illinois, usa",english,3,female,5
146,147,english83,"winnfield, louisiana, usa",english,3,female,5
147,148,english84,"sydney, australia",english,3,male,5
148,149,english85,"strabane, northern ireland, uk",english,3,male,5
149,150,english86,"charleston, south carolina, usa",english,3,male,5
150,151,english87,"tamworth, australia",english,3,female,5
151,152,english88,"grand rapids, michigan, usa",english,3,male,5
152,153,english89,"kingston ma, massachusetts, usa",english,3,male,5
153,154,english9,"carthage, texas, usa",english,3,female,5
154,155,english90,"pittsburgh, pennsylvania, usa",english,3,male,5
155,156,english91,"kingston, jamaica",english,3,male,5
156,157,english92,"wisconsin rapids, wisconsin, usa",english,3,female,5
157,158,english93,"mamou, louisiana, usa",english,3,female,5
158,159,english94,"pensacola, florida, usa",english,3,female,5
159,160,english95,"mishawaka, indiana, usa",english,3,male,5
160,161,english96,"point pleasant, new jersey, usa",english,3,male,5
161,162,english97,"wilmington nc, north carolina, usa",english,3,male,5
162,163,english98,"spokane, washington, usa",english,3,male,5
163,164,english99,"pittsburgh, pennsylvania, usa",english,3,female,5
164,165,ewe1,"accra, ghana",ewe,3,male,5
165,166,fang1,"malabo, equatorial guinea",fang,3,female,5
